Property,Submarket,Market
ArLo,Central East Phoenix,Phoenix
Arista at Ocotillo,Chandler,Phoenix
Waterside at Ocotillo,Chandler,Phoenix
Laguna at Arrowhead Ranch,Deer Valley,Phoenix
San Lagos,Deer Valley,Phoenix
Domus,East Camelback,Phoenix
Azul at Spectrum,Gilbert,Phoenix
BB Living at Higley Park,Gilbert,Phoenix
Allegro At La Entrada,Henderson West,Las Vegas
Shadow Hills at Lone Mountain,Las Vegas NW,Las Vegas
Bellagio,North Paradise Valley,Phoenix
Park Place at Fountain Hills,North Scottsdale,Phoenix
Emerson Mill Avenue,North Tempe,Phoenix
Hudson on Farmer,North Tempe,Phoenix
Villa Vita,Peoria,Phoenix
San Posada,South Mesa,Phoenix
San Paseo,South Phoenix,Phoenix
Carter,South Scottsdale,Phoenix
Ravenwood Heights,South Tempe,Phoenix
San Pedregal,Sunnyslope,Phoenix
Aviva,Superstition Springs,Phoenix
BB Living at Eastmark,Superstition Springs,Phoenix
Avenue 25,Union Hills,Phoenix
Level at Sixteenth,Uptown,Phoenix
"Astor at Osborn, The",Uptown,Phoenix
Las Casas at Windrose,Western Suburbs,Phoenix
"Maxx 159, The",Western Suburbs,Phoenix
