Name,Synonyms
AC,"air conditioning, AC, air con"
alarm,"alert, alarm, alarm system, warning device"
attic,attic
backyard,backyard
bar,bar
basketball court,"basketball arena, basketball, basketball area, basketball field"
bathtub,"bathtub, bathing tub, tub"
bike repair,"bike repair, cycle repair, bicycle repair, bike fix, cycle fix, bicycle fix"
bike storage,"bike storage, bicycle storage, cycle storage, bike storage area, bicycle storage area, cycle storage area, bike storage room, bicycle storage room, cycle storage room"
bluetooth,bluetooth
Bocce court,"Bocce field, Bocce arena, Bocce ground, Bocce lawn"
bookshelves,bookshelf
cabana,cabana
cabinet,"cabinet, cabinetry, cupboard"
cable ready,cable ready
cable TV,"cable tv, cable television"
ceilings,ceiling
charging station,"charge station, charge place"
closet,"closet, wardrobe"
clubhouse,"club, clubhouse"
coffee cafe,"coffee shop, coffee house, coffee internet cafe"
cornhole,cornhole
courtyard,"court, courtyard"
decor,"decor, interior decoration"
dishwasher,"dishwashing machine, dish washer, dishwasher"
dog park,"dog area, dog grounds, dog green, dog recreational space, dog space"
doors,"doorway, door, threshold"
driving service,driver service
dry cleaning,"dry cleaning, dry clean"
elevator,"lift, elevator"
energy efficient appliances,"energy saving appliance, energy saving devices, energy saving gadetes, energy saving machines, energy saving gizmos"
entryway,"entree, entry, entrance, entryway, entranceway"
events,"activity, happenings, event"
fireplace,"hearth, fireplace, fire place, fire, fireside"
flooring,"floor, tile, floors, tiles, hardwood, carpet"
game room,"game area, game model, game space, game center"
garage,garage
garbage,"garbage, food waste, trash, "
garden,garden
gated entry,"gated entrance, gate entrance, gated approach, gate approach, gate, gated"
golf,"golf, golf game"
granite counters,"granite countertop, granite countertops, granite counter top, granite counter, granite counters, granite counter space"
grill,"grill, bbq, grill out, fire pits, fire pit, barbecue, cookout"
gym,"gymnasium, gym, fitness center"
high-end finishes,"upscale finish, upscale finishes, luxury finish, luxury finishes"
highway access,"interstate access, main road access"
internet,"net, internet, cyberspace, wifi"
kitchen,kitchen
kitchen appliances,"kitchen appliance, kitchen devices, kitchen machines, kitchen gizmos"
kitchen island,"kitchen counter space, kitchen counters"
laundry,laundry room
lighting,"light, lighting, illumination"
locker room,"locker room, storage locker room, locker area, storage locker area, locker suite, storage locker suite"
lounge,"waiting room, hang around area, waiting area, hang out area, resting room, resting area"
microwave,"microwave oven, microwave"
movie theater,"screening theater, movies, screening room, movie room, motion picture room, picture screening"
natural gas,natural gas
non-smoking,"no smoking, no smoking allowed, no smoke"
office,"business center, office space, co-working, co-work, co-working space"
on-site management,"on-site management, onsite management, on-site front office, onsite front office"
open floor plan,"spacious floor plan, opened floor plan, sizeable floor plan, roomy floor plan, vast floor plan"
outdoor area,"outdoor yard, outdoor space, outdoor lawn, outdoor fleld, outside yard, outside space, outside lawn"
outdoor ramada,"outdoor ramada, outside ramada"
outdoor TV,"outdoor tv, outdoor television, outside tv, outside television"
oven,"oven, stove, stove top"
pantry,pantry
parks                                                                                                                              ,"park, parks, ballpark, green, public park, recreation park, recreational park                                        "
party room,"party room, party area, party space"
patio,"terrace, patio, balcony, deck"
patrol,"patrol, security, police, guard, patrolling"
pet doors,"pet door, dog door, cat door, pet doorway, dog doorway, cat doorway, pet entryway, dog entryway, cat entryway"
pet spa,"pet wash, dog wash, cat wash"
playground,"playground, play area, children play area, kid play area"
private entry,"private entrance, private approach, private door"
public transportation,"public transit, public transport"
quartz counters,"quartz countertop, quartz countertops, quartz counter top, quartz counter, quartz counters, quartz counter space"
recycling,"reuse, recycle, recycling, reprocess"
refrigerator,"refrigerator, icebox, fridge"
resident guest suite,"resident visitor suite, resident visitor room, resident visitor apartment"
resident portal,"resident site, resident app, resident website, occupant site, occupant portal, occupant app, occupant website"
rooftop deck,"roof deck, roof top deck, rooftop deck, roof patio, rooftop patio, roof top patio, roof balcony, roof top balcony, rooftop balcony"
school,"school, schools"
shower,shower
sink,"sink, faucet"
smart entry,"smart tech entrance, smart tech approach, smart tech door, smart technology entrance, smart technology approach, smart technology door"
smart home,"smart tech home, smart tech apartment, smart tech unit, smart tech model, smart technology home, smart technology apartment, smart technology unit, smar technology model"
soundproof,soundproof
spa,"spa, sauna, whirlpool"
stainless steel appliances,"stainless steel appliance, stainless steel devices, stainless steel gadgets, stainless steel machines, stainless steel gizmos"
storage,"storage, warehousing, depot, storehouse, warehouse, storage area"
sundeck,"tanning, sun deck, sun room"
swimming pool,"swim pool, pool, poolside, "
tennis court,"tennis court, tennis field, tennis arena, tennis area"
thermostat,thermostat
trail,"walking trail, hiking trail, trails, outdoor trails"
TV,"tv, television"
USB charging,"usd charge, usb charger, usb charging station"
vanity,"dresser, dressing table"
views,"panorama, vista, scene, view, horizon, scenery"
volleyball court,"volleyball field, volleyball area, volleyball space, volleyball arena"
washer&dryer,"washer and dryer, washer, dryer, washer/dryer"
water station,"hydration station, water place, hydration place"
waterfront,waterfront
wheelchair access,"handicap access, wheelchair accessible, handicap accessible, handicap-friendly"
wifi cafe,"internet cafe, WIFI cafe, WiFi cafe, internet coffeehouse, WIFI coffeehouse, WiFI coffeehouse, internet coffee shop, WIFI coffee shop, WiFI coffee shop, internet cafe shop, WIFI cafe shop, WiFi cafe shop"
windows,"window, windowpane, Windows, window pane"
wine,vino
yard,"yard, lawn, space"
yoga,"yoga, meditation"
